,url,type
0,http://againforcreating.underamazonone.buzz/,malign
1,https://againforcreating.underamazonone.buzz/,malign
2,https://zonghao15.shop/,malign
3,https://infic.net/amc/cache/Login.php,malign
4,https://amazom.eoeaxu.buzz/,malign
5,https://www.mumbaiescortsx.in/google016s08f45rt40/,malign
6,https://playgirlgold.com/google2e21e2e.html,malign
7,https://cutt.ly/QYMD2vC,malign
8,https://dbservergov247.irs-supportaccess.com/?access1,malign
9,https://www.mercialsilga.icu/login.php?ignin&amp;openid.idec_handle=jpenid.net%2Fauth%2F2.0&amp;&amp;ref_=nav_em_hd_clc_signin,malign
10,https://tini.to/pE0?Facebook_Update,malign
11,https://tini.to/Eok?Facebook_Update,malign
12,https://tini.to/ydC?Facebook_Update,malign
13,https://r3-v3r1fy-p4g3r3p0t3d.000webhostapp.com/termz.html,malign
14,https://v3r1fy-p4g3r3p00rt3d.000webhostapp.com/termz.html,malign
15,https://azspmeta.000webhostapp.com/chekcomfrim.html,malign
16,https://www.jaccss.co.jp-services-tranid-000-00001m.wbesqfa.cn,malign
17,https://hjbnnxnmx.weebly.com/,malign
18,https://restassured.underrakutenone.xyz/,malign
19,https://cutt.ly/IYN1OWX,malign
20,https://smsgateway01.duckdns.org/secure/,malign
21,https://l.wl.co/l?u=https://qr.paps.jp/v9oq?userid=ZnQ25VXV,malign
22,http://moneyval.cf/smxs/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&fid.13InboxLight.aspxn.1774256418&fid.125289964252813InboxLight99642_Product-userid&userid=3Drita@henglongplastic.com,malign
23,http://moneyval.cf/smxs/?userid=3Drita@henglongplastic.com,malign
24,https://mersei.info/login.php?token=d203c5730aa967d2d256d331b55,malign
25,https://www.mercari.jp.oudd.dog33nds.bfjssfd.com/,malign
26,https://www.mercari.jp.jdfjgfdks.fudsj66dg.mrdfksa.com/,malign
27,https://www.mercialsilya.icu/login.php?ignin&amp;openid.idec_handle=jpenid.net%2Fauth%2F2.0&amp;&amp;ref_=nav_em_hd_clc_signin,malign
28,https://have.servemp3.com/?checkid=a@abc,malign
29,http://app.mobile-recovery-pages46646726173814702655.jbud4ix21f-zqy3jw70y6kg.p.runcloud.link/,malign
30,http://app.mobile-recovery-pages09813639021174648273.jbud4ix21f-zqy3jw70y6kg.p.runcloud.link/,malign
31,http://app.redirect-mobile-info-pages.jbud4ix21f-zqy3jw70y6kg.p.runcloud.link/,malign
32,http://app.mobile-recovery-pages48218455305747828448.jbud4ix21f-zqy3jw70y6kg.p.runcloud.link/,malign
33,http://app.redirect-mobile-info-pages.jbud4ix21f-zqy3jw70y6kg.p.runcloud.link,malign
34,http://app.mobile-recovery-pages76866811998011267651.jbud4ix21f-zqy3jw70y6kg.p.runcloud.link/,malign
